drug:tissue_type	spearman corr val	spearman p-val	adjusted spearman p-val	pearson corr val	pearson p-val	adjusted pearson p-val	
CP724714_OVARY	0.455882353	0.075945491	0.516217186	0.322323212	0.223400981	0.797467472	
CP724714_PANCREAS	-0.230769231	0.470531995	0.928131881	0.084320518	0.794447087	0.851193308	
CP724714_SKIN	-0.325179155	0.130018138	0.516217186	-0.36553121	0.086308397	0.797467472	
CP724714_URINARY_TRACT	-0.454545455	0.137657916	0.516217186	-0.350518766	0.26397201	0.797467472	
Crizotinib_CENTRAL_NERVOUS_SYSTEM	0.093506494	0.686839785	0.810990394	0.190708201	0.407635831	0.679393051	
Crizotinib_DLBC	0.086510264	0.637790707	0.810990394	-0.278394593	0.122863785	0.614318927	
Crizotinib_LCLL	0.050404858	0.760571396	0.810990394	-0.140353512	0.394092153	0.679393051	
Crizotinib_LUNG	-0.210553411	0.217721168	0.810990394	0.024178899	0.888680693	0.888680693	
Crizotinib_MM	-0.081818182	0.810990394	0.810990394	-0.143295095	0.674248962	0.842811202	
CUDC-101_BILIARY	0.267857143	0.334443601	0.533238613	0.431040084	0.108694634	0.326083903	
CUDC-101_BONE_AND_SOFT_TISSUE	0.238596491	0.325254541	0.533238613	0.145086248	0.553427444	0.691784305	
CUDC-101_BREAST	0.093055237	0.60066591	0.703493334	0.113199105	0.523849032	0.691784305	
CUDC-101_CENTRAL_NERVOUS_SYSTEM	-0.163508559	0.355492409	0.533238613	-0.314347959	0.070203352	0.326083903	
CUDC-101_DLBC	0.112536657	0.539725166	0.703493334	0.011675686	0.94943053	0.94943053	
CUDC-101_KIDNEY	0.518181818	0.10249154	0.512457699	0.119974042	0.725315549	0.777123802	
CUDC-101_LARGE_INTESTINE	0.287012987	0.207141018	0.517852545	0.306315706	0.176858184	0.378981824	
CUDC-101_LCLL	-0.074515811	0.656593778	0.703493334	-0.14069781	0.399480487	0.60322976	
CUDC-101_LUNG	-0.216755261	0.027864123	0.260999365	-0.164805603	0.096196879	0.326083903	
CUDC-101_MM	0.172727273	0.611542385	0.703493334	0.134849997	0.692611436	0.777123802	
CUDC-101_OESOPHAGUS	0.083333333	0.75050445	0.75050445	0.21729896	0.402153173	0.60322976	
CUDC-101_OVARY	0.346428571	0.205895992	0.517852545	0.450143796	0.092240522	0.326083903	
CUDC-101_PANCREAS	-0.328671329	0.296904116	0.533238613	-0.35362596	0.259468258	0.486502984	
CUDC-101_SKIN	-0.441808761	0.034799915	0.260999365	-0.400722277	0.058103627	0.326083903	
CUDC-101_URINARY_TRACT	-0.433566434	0.159105769	0.517852545	-0.437150616	0.15530016	0.378981824	
CX-5461_BILIARY	-0.007142857	0.979844228	0.979844228	-0.226004211	0.417977863	0.660658183	
CX-5461_BONE_AND_SOFT_TISSUE	-0.09924812	0.677188844	0.88976712	-0.007379272	0.975368095	0.975368095	
CX-5461_BREAST	0.277790512	0.111680629	0.636497268	0.047482497	0.789729085	0.846138305	
CX-5461_CENTRAL_NERVOUS_SYSTEM	-0.108250741	0.529720135	0.88976712	-0.401483623	0.015225059	0.165551836	
CX-5461_DLBC	-0.074780059	0.684184249	0.88976712	-0.16564881	0.364908614	0.660658183	
CX-5461_KIDNEY	-0.009090909	0.9788365	0.979844228	0.236158037	0.484482667	0.660658183	
CX-5461_LARGE_INTESTINE	-0.085714286	0.711813696	0.88976712	-0.086102366	0.710562916	0.819880287	
CX-5461_LCLL	-0.075391181	0.652812211	0.88976712	-0.199305034	0.23027993	0.660658183	
CX-5461_LUNG	-0.143134535	0.147191163	0.636497268	-0.123627166	0.211182849	0.660658183	
CX-5461_MM	0.445454545	0.169732605	0.636497268	0.27726768	0.40911383	0.660658183	
CX-5461_OESOPHAGUS	0.049019608	0.851794399	0.979844228	-0.184013073	0.479573804	0.660658183	
CX-5461_OVARY	0.539285714	0.038021656	0.570324844	0.243552458	0.381725156	0.660658183	
CX-5461_PANCREAS	-0.286713287	0.366251461	0.88976712	-0.650205395	0.022073578	0.165551836	
CX-5461_SKIN	-0.254509521	0.241221149	0.723663448	-0.192531833	0.378786656	0.660658183	
CX-5461_URINARY_TRACT	-0.13986014	0.664633162	0.88976712	-0.149235475	0.643430285	0.804287856	
Cyclopamine_CENTRAL_NERVOUS_SYSTEM	0.359398496	0.119632506	0.275056107	0.211858968	0.36988148	0.536136807	
Cyclopamine_DLBC	0.251466276	0.165033664	0.275056107	0.248664432	0.169950834	0.424877084	
Cyclopamine_LCLL	0.062588905	0.712867598	0.83239108	-0.099065517	0.559659375	0.559659375	
Cyclopamine_LUNG	0.036550837	0.83239108	0.83239108	0.136029361	0.428909446	0.536136807	
Cyclopamine_MM	-0.660606061	0.037588378	0.187941888	-0.617588535	0.057094718	0.285473589	
Cytarabine_BILIARY	-0.083916084	0.795414502	0.863571835	0.021090827	0.948127565	0.999407966	
Cytarabine_BONE_AND_SOFT_TISSUE	0.156862745	0.547680585	0.860652081	0.074385928	0.77661537	0.999407966	
Cytarabine_BREAST	-0.146077104	0.449579334	0.860652081	-0.105578241	0.585702419	0.951766431	
Cytarabine_CENTRAL_NERVOUS_SYSTEM	-0.047296059	0.797143232	0.863571835	-0.047047725	0.798186449	0.999407966	
Cytarabine_DLBC	0.106837607	0.595836056	0.860652081	-0.02628165	0.89646863	0.999407966	
Cytarabine_LARGE_INTESTINE	-0.359649123	0.130436789	0.565226086	-0.326895951	0.171922401	0.608389698	
Cytarabine_LCLL	0.069433198	0.674478135	0.863571835	-0.185803026	0.257431521	0.669321954	
Cytarabine_LUNG	0.28451342	0.007931559	0.103110263	0.216876539	0.044883946	0.583491295	
Cytarabine_MM	-0.013986014	0.965590269	0.965590269	0.000240573	0.999407966	0.999407966	
Cytarabine_OESOPHAGUS	-0.332142857	0.226471759	0.588826574	-0.418370672	0.120668858	0.608389698	
Cytarabine_OVARY	0.178571429	0.52428436	0.860652081	0.184999499	0.509205277	0.945666943	
Cytarabine_PANCREAS	-0.539393939	0.107593188	0.565226086	-0.454278272	0.18719683	0.608389698	
Cytarabine_SKIN	0.29122807	0.226397194	0.588826574	0.239270726	0.3238481	0.701670883	
Dabrafenib_BILIARY	-0.195804196	0.541935886	0.843011378	-0.373677128	0.23148952	0.711539456	
Dabrafenib_BONE_AND_SOFT_TISSUE	0.37254902	0.140835722	0.617665386	0.363716901	0.151252517	0.705845077	
Dabrafenib_BREAST	-0.159491885	0.391430324	0.782860647	-0.013190843	0.943852752	0.988799909	
Dabrafenib_CENTRAL_NERVOUS_SYSTEM	-0.069477545	0.705546002	0.89569459	0.002584359	0.988799909	0.988799909	
Dabrafenib_DLBC	-0.049610679	0.794599309	0.89569459	-0.080704504	0.671604713	0.804430289	
Dabrafenib_LARGE_INTESTINE	0.194664032	0.373427447	0.782860647	0.104849451	0.633992692	0.804430289	
Dabrafenib_LCLL	-0.01709748	0.914417576	0.914417576	-0.145982455	0.35627916	0.711539456	
Dabrafenib_LUNG	0.282956744	0.006886116	0.09640563	0.09676167	0.364268574	0.711539456	
Dabrafenib_MM	0.090909091	0.790372738	0.89569459	0.136270687	0.689511676	0.804430289	
Dabrafenib_OESOPHAGUS	-0.326470588	0.217159491	0.617665386	-0.501526252	0.047788524	0.33451967	
Dabrafenib_OVARY	0.191208791	0.51258397	0.843011378	0.240970761	0.406593975	0.711539456	
Dabrafenib_PANCREAS	-0.072727273	0.831716405	0.89569459	-0.200008152	0.555428989	0.804430289	
Dabrafenib_SKIN	-0.294736842	0.220594781	0.617665386	-0.260848451	0.280750778	0.711539456	
Dabrafenib_URINARY_TRACT	-0.545454545	0.066611882	0.466283176	-0.760689762	0.004069187	0.056968619	
Dacinostat_BILIARY	0.189285714	0.499263033	1	-0.060417757	0.830632178	0.917049136	
Dacinostat_BONE_AND_SOFT_TISSUE	0	1	1	0.393389515	0.08616324	0.430816201	
Dacinostat_BREAST	0.216364887	0.21905479	1	0.349286449	0.042891303	0.321684771	
Dacinostat_CENTRAL_NERVOUS_SYSTEM	0.098473176	0.573578982	1	0.371061555	0.028197979	0.321684771	
Dacinostat_DLBC	-0.011363636	0.95078042	1	0.213773645	0.240068663	0.72020599	
Dacinostat_KIDNEY	-0.163636364	0.630685215	1	-0.234018624	0.488564909	0.917049136	
Dacinostat_LARGE_INTESTINE	0.079411765	0.770025319	1	-0.066589547	0.806438701	0.917049136	
Dacinostat_LCLL	0.015209542	0.92778576	1	-0.017478192	0.917049136	0.917049136	
Dacinostat_LUNG	-0.032262883	0.745085553	1	-0.03289199	0.740289967	0.917049136	
Dacinostat_MM	0.109090909	0.749508596	1	0.05804811	0.865381791	0.917049136	
Dacinostat_OESOPHAGUS	0.023529412	0.931073584	1	0.110385566	0.684027867	0.917049136	
Dacinostat_OVARY	0.382352941	0.14385925	1	0.127036278	0.639189122	0.917049136	
Dacinostat_PANCREAS	-0.244755245	0.443261936	1	-0.318664327	0.312722276	0.781805691	
Dacinostat_SKIN	0.134914756	0.539372252	1	0.105135057	0.633063908	0.917049136	
Dacinostat_URINARY_TRACT	0.405594406	0.190835874	1	0.404927671	0.191636421	0.718636579	
Dactolisib_BILIARY	0.097902098	0.762121656	0.997794169	0.123165045	0.702946009	0.898935151	
Dactolisib_BONE_AND_SOFT_TISSUE	0.214705882	0.424559234	0.997794169	0.487587653	0.05538667	0.360013358	
Dactolisib_BREAST	0.00054742	0.997794169	0.997794169	-0.01432507	0.942324388	0.942324388	
Dactolisib_CENTRAL_NERVOUS_SYSTEM	0.315673699	0.078409507	0.451418852	0.279006207	0.122009224	0.415129348	
Dactolisib_DLBC	-0.028698554	0.880338585	0.997794169	-0.104027098	0.584339601	0.898935151	
Dactolisib_LARGE_INTESTINE	-0.454385965	0.050651653	0.451418852	-0.288053566	0.231731264	0.5952636	
Dactolisib_LCLL	0.006378987	0.968838334	0.997794169	-0.117526955	0.470144261	0.873125057	
Dactolisib_LUNG	0.179631418	0.104173581	0.451418852	0.12128269	0.274737046	0.5952636	
Dactolisib_MM	-0.409090909	0.21154501	0.687521284	-0.628446824	0.038372256	0.360013358	
Dactolisib_OESOPHAGUS	-0.060714286	0.829812095	0.997794169	-0.127538687	0.650577459	0.898935151	
Dactolisib_OVARY	0.173626374	0.552766941	0.997794169	0.427091216	0.127732107	0.415129348	
Dactolisib_PANCREAS	0.054545455	0.881036181	0.997794169	-0.039646116	0.913410311	0.942324388	
Dactolisib_SKIN	0.135087719	0.581361946	0.997794169	0.074875156	0.760637436	0.898935151	
Daporinad_BILIARY	-0.038461538	0.900724302	0.977480202	-0.071903498	0.815427594	0.919396396	
Daporinad_BONE_AND_SOFT_TISSUE	-0.034586466	0.884901509	0.977480202	0.234097494	0.320515415	0.64103083	
Daporinad_BREAST	-0.265024631	0.164706863	0.461179215	-0.091664399	0.636275744	0.916269784	
Daporinad_CENTRAL_NERVOUS_SYSTEM	-0.014211492	0.936419502	0.977480202	0.032838561	0.853725225	0.919396396	
Daporinad_DLBC	0.11773399	0.543021865	0.844700679	0.080614016	0.677628275	0.916269784	
Daporinad_LARGE_INTESTINE	-0.006086957	0.977480202	0.977480202	0.009904007	0.963365786	0.963365786	
Daporinad_LCLL	-0.137523452	0.397426984	0.794853967	-0.164935769	0.309127666	0.64103083	
Daporinad_LUNG	-0.205059685	0.045048726	0.334919274	-0.261646504	0.010022725	0.140318153	
Daporinad_MM	0.036363636	0.915468317	0.977480202	0.138167804	0.685379087	0.916269784	
Daporinad_OESOPHAGUS	-0.461764706	0.071768416	0.334919274	-0.471152365	0.065451806	0.229081322	
Daporinad_OVARY	0.445054945	0.127523836	0.446333426	0.474859737	0.101058115	0.282962721	
Daporinad_PANCREAS	-0.224242424	0.533400561	0.844700679	0.647237765	0.043073152	0.201008044	
Daporinad_SKIN	0.21349902	0.340079943	0.793519868	0.081049775	0.719926259	0.916269784	
Daporinad_URINARY_TRACT	-0.573426573	0.05126559	0.334919274	-0.61396279	0.033694228	0.201008044	
Dasatinib_CENTRAL_NERVOUS_SYSTEM	0.631168831	0.002152949	0.010764743	0.270335992	0.235936428	0.294920535	
Dasatinib_DLBC	0.215572859	0.252588659	0.420981098	0.271872593	0.146120502	0.294920535	
Dasatinib_LCLL	-0.022212496	0.894692317	0.894692317	-0.227334891	0.169869605	0.294920535	
Dasatinib_LUNG	0.282633053	0.099951131	0.249877828	0.215538364	0.213679613	0.294920535	
Dasatinib_MM	0.1	0.769875	0.894692317	0.249480067	0.459409882	0.459409882	
DMOG_BILIARY	0.214285714	0.443140935	0.787806106	0.023520415	0.933690962	0.995937026	
DMOG_BONE_AND_SOFT_TISSUE	0.236090226	0.316293971	0.787806106	0.203286192	0.390002163	0.800493878	
DMOG_BREAST	0.034277335	0.852255128	0.950081008	0.015603387	0.93245272	0.995937026	
DMOG_CENTRAL_NERVOUS_SYSTEM	0.506513522	0.001904057	0.030464906	0.380074742	0.024312216	0.388995453	
DMOG_CERVICAL	-0.139393939	0.700931885	0.934575847	-0.262384273	0.463943855	0.800493878	
DMOG_DLBC	0.011153552	0.950081008	0.950081008	0.119649838	0.500308674	0.800493878	
DMOG_KIDNEY	-0.463636364	0.150901499	0.482884798	-0.555093959	0.076299996	0.504354942	
DMOG_LARGE_INTESTINE	-0.558823529	0.024436511	0.195492091	-0.254851575	0.340806873	0.800493878	
DMOG_LCLL	-0.020242915	0.902648498	0.950081008	0.014494409	0.930212865	0.995937026	
DMOG_LUNG	0.060876987	0.539286547	0.809799354	0.049470915	0.617980681	0.860790341	
DMOG_MM	0.036363636	0.915468317	0.950081008	0.001530822	0.996435936	0.996435936	
DMOG_OESOPHAGUS	0.217647059	0.418086842	0.787806106	0.398705739	0.126088736	0.504354942	
DMOG_OVARY	0.376470588	0.150648115	0.482884798	0.210546491	0.43380048	0.800493878	
DMOG_PANCREAS	-0.188811189	0.556737056	0.809799354	-0.148274479	0.645592756	0.860790341	
DMOG_SKIN	0.400790721	0.058056756	0.309636034	0.347704772	0.104006733	0.504354942	
DMOG_URINARY_TRACT	0.293706294	0.354147641	0.787806106	0.390951999	0.208894447	0.66846223	
Docetaxel_BILIARY	-0.090909091	0.778725396	0.778725396	-0.026430108	0.935017699	0.935017699	
Docetaxel_BONE_AND_SOFT_TISSUE	0.558823529	0.019708566	0.085403786	0.444083171	0.074135773	0.327589706	
Docetaxel_BREAST	0.120950857	0.531977087	0.778725396	-0.022031987	0.90968134	0.935017699	
Docetaxel_CENTRAL_NERVOUS_SYSTEM	0.520256654	0.002271103	0.014762168	0.266002727	0.141147258	0.366982871	
Docetaxel_DLBC	0.065323565	0.746153262	0.778725396	-0.100391615	0.618323233	0.803820203	
Docetaxel_LARGE_INTESTINE	-0.30877193	0.198359434	0.602705213	-0.362100543	0.12764597	0.366982871	
Docetaxel_LCLL	0.116396761	0.480404734	0.778725396	-0.203004366	0.215171733	0.399604647	
Docetaxel_LUNG	0.3405538	0.001334609	0.014762168	0.261420015	0.015045813	0.195595569	
Docetaxel_MM	0.097902098	0.762121656	0.778725396	-0.065021818	0.840883964	0.935017699	
Docetaxel_OESOPHAGUS	-0.2	0.474813965	0.778725396	-0.345794094	0.206783557	0.399604647	
Docetaxel_OVARY	0.328571429	0.231809697	0.602705213	0.472097604	0.075597624	0.327589706	
Docetaxel_PANCREAS	-0.115151515	0.751419652	0.778725396	0.212592148	0.555408781	0.802257128	
Docetaxel_SKIN	0.088721805	0.709920628	0.778725396	0.193368632	0.414019229	0.672781247	
Doramapimod_BILIARY	-0.167832168	0.602099428	0.99217982	0.1560526	0.628163757	0.956430893	
Doramapimod_BONE_AND_SOFT_TISSUE	0.329411765	0.212801426	0.99217982	0.351726502	0.181566806	0.956430893	
Doramapimod_BREAST	-0.276720955	0.154006115	0.99217982	-0.066760022	0.735716071	0.956430893	
Doramapimod_CENTRAL_NERVOUS_SYSTEM	-0.04344638	0.813352766	0.99217982	0.135153637	0.460805891	0.956430893	
Doramapimod_DLBC	0.077723043	0.694233437	0.99217982	0.135690737	0.491158727	0.956430893	
Doramapimod_LARGE_INTESTINE	-0.052631579	0.830556012	0.99217982	-0.001269064	0.99588601	0.99588601	
Doramapimod_LCLL	-0.036218405	0.829083051	0.99217982	-0.176797317	0.288309277	0.956430893	
Doramapimod_LUNG	-0.001099248	0.99217982	0.99217982	0.045884974	0.68228795	0.956430893	
Doramapimod_MM	-0.190909091	0.573913168	0.99217982	-0.351614715	0.28897436	0.956430893	
Doramapimod_OESOPHAGUS	0.003571429	0.989921407	0.99217982	0.036709206	0.896659448	0.99588601	
Doramapimod_OVARY	0.204395604	0.483346223	0.99217982	0.023749846	0.935768824	0.99588601	
Doramapimod_PANCREAS	-0.236363636	0.510885318	0.99217982	-0.161875802	0.655030552	0.956430893	
Doramapimod_SKIN	-0.006015038	0.979920912	0.99217982	0.08872334	0.709915817	0.956430893	
Doxorubicin_BILIARY	0.257142857	0.354860364	0.676441863	0.089066743	0.752263921	0.942285031	
Doxorubicin_BONE_AND_SOFT_TISSUE	-0.15037594	0.526854948	0.683786784	-0.01730165	0.942285031	0.942285031	
Doxorubicin_BREAST	0.139048056	0.43287762	0.676441863	0.228885096	0.192895071	0.606175877	
Doxorubicin_CENTRAL_NERVOUS_SYSTEM	0.213055052	0.219130694	0.657392082	0.04691814	0.788977877	0.942285031	
Doxorubicin_DLBC	-0.44941349	0.009867657	0.148014851	-0.431746868	0.013608083	0.102060624	
Doxorubicin_KIDNEY	0.181818182	0.592615213	0.683786784	-0.028374138	0.934001076	0.942285031	
Doxorubicin_LARGE_INTESTINE	0.126470588	0.640694441	0.686458329	-0.029718721	0.913000113	0.942285031	
Doxorubicin_LCLL	-0.127475654	0.445653049	0.676441863	0.134140144	0.422026045	0.818106496	
Doxorubicin_LUNG	0.196191187	0.045931005	0.229655024	0.298542301	0.002082067	0.031231	
Doxorubicin_MM	0.2	0.555445442	0.683786784	0.06266204	0.854775997	0.942285031	
Doxorubicin_OESOPHAGUS	0.05	0.854099552	0.854099552	0.209418866	0.436323464	0.818106496	
Doxorubicin_OVARY	0.202941176	0.450961242	0.676441863	0.178595173	0.508109233	0.846848722	
Doxorubicin_PANCREAS	-0.601398601	0.038588453	0.229655024	-0.396399824	0.202058626	0.606175877	
Doxorubicin_SKIN	0.320731416	0.135661945	0.508732293	0.225460899	0.300963885	0.752409712	
Doxorubicin_URINARY_TRACT	0.328671329	0.296904116	0.676441863	0.568453602	0.05379161	0.268958052	
EHT-1864_BILIARY	0.054945055	0.858504294	0.959024524	0.002522241	0.993475278	0.993475278	
EHT-1864_BONE_AND_SOFT_TISSUE	-0.293233083	0.209571389	0.959024524	-0.089331796	0.708009787	0.836710816	
EHT-1864_BREAST	-0.03354413	0.855382011	0.959024524	0.206803699	0.256105532	0.817899886	
EHT-1864_CENTRAL_NERVOUS_SYSTEM	0.038863429	0.832748692	0.959024524	0.143807292	0.432321317	0.817899886	
EHT-1864_DLBC	0.01037851	0.959024524	0.959024524	0.070933771	0.725149373	0.836710816	
EHT-1864_KIDNEY	-0.127272727	0.726057015	0.959024524	-0.217937844	0.545266591	0.817899886	
EHT-1864_LARGE_INTESTINE	0.016883117	0.942096201	0.959024524	0.051705722	0.823858655	0.882705701	
EHT-1864_LCLL	-0.01255976	0.937077842	0.959024524	-0.126495823	0.424719145	0.817899886	
EHT-1864_LUNG	0.03622712	0.724623749	0.959024524	0.040981319	0.690221632	0.836710816	
EHT-1864_MM	-0.58041958	0.047855977	0.717839653	-0.485336654	0.10972303	0.817899886	
EHT-1864_OESOPHAGUS	-0.102941176	0.694204783	0.959024524	-0.178169662	0.493872194	0.817899886	
EHT-1864_OVARY	0.2	0.493003735	0.959024524	0.359618079	0.206628623	0.817899886	
EHT-1864_PANCREAS	0.034965035	0.914093342	0.959024524	-0.352017536	0.261793988	0.817899886	
EHT-1864_SKIN	-0.162644057	0.447654073	0.959024524	-0.170733839	0.425071929	0.817899886	
EHT-1864_URINARY_TRACT	-0.336363636	0.311824314	0.959024524	-0.226825053	0.502401697	0.817899886	
Elesclomol_BILIARY	-0.699300699	0.011374199	0.073932291	-0.582435923	0.0469033	0.304871447	
Elesclomol_BONE_AND_SOFT_TISSUE	0.139705882	0.592801082	0.700583097	0.000844561	0.997433253	0.997433253	
Elesclomol_BREAST	0.13819436	0.474667429	0.685630731	0.192058697	0.31822847	0.689495019	
Elesclomol_CENTRAL_NERVOUS_SYSTEM	0.044546289	0.808713412	0.876106196	0.026847335	0.884035714	0.997433253	
Elesclomol_DLBC	0.163108922	0.406925496	0.661253931	0.022255953	0.910496889	0.997433253	
Elesclomol_LARGE_INTESTINE	-0.240350877	0.321602437	0.643673656	-0.002653815	0.991397107	0.997433253	
Elesclomol_LCLL	0.090080972	0.585503684	0.700583097	-0.084515372	0.608970906	0.879624642	
Elesclomol_LUNG	0.181017973	0.09532821	0.309816682	0.253936001	0.018311485	0.238049307	
Elesclomol_MM	-0.006993007	0.982791769	0.982791769	-0.198690988	0.535874422	0.870795936	
Elesclomol_OESOPHAGUS	-0.482142857	0.068749538	0.297914663	-0.319371165	0.245919138	0.639389758	
Elesclomol_OVARY	0.679178109	0.005359292	0.069670795	0.456182498	0.087426915	0.378849963	
Elesclomol_PANCREAS	-0.333333333	0.346593507	0.643673656	-0.248945224	0.487944801	0.870795936	
Elesclomol_SKIN	0.257142857	0.273750504	0.643673656	0.281065827	0.229978048	0.639389758	
Embelin_BILIARY	0.057142857	0.839699869	0.957685241	-0.028818999	0.918794406	0.983451361	
Embelin_BONE_AND_SOFT_TISSUE	0.291729323	0.212026233	0.795098372	0.385375212	0.093344079	0.628617359	
Embelin_BREAST	0.10023684	0.572728273	0.957685241	0.138510369	0.434676336	0.893471642	
Embelin_CENTRAL_NERVOUS_SYSTEM	0.276929545	0.107285806	0.628457633	0.205608594	0.236044207	0.708132622	
Embelin_DLBC	0.276392962	0.125691527	0.628457633	0.249978822	0.167631296	0.628617359	
Embelin_KIDNEY	-0.218181818	0.519248248	0.957685241	-0.142508989	0.675951674	0.909293486	
Embelin_LARGE_INTESTINE	-0.029411765	0.913895587	0.957685241	-0.137928698	0.610466989	0.909293486	
Embelin_LCLL	-0.092460882	0.580871397	0.957685241	0.003481099	0.983451361	0.983451361	
Embelin_LUNG	0.354070202	0.000226574	0.003398608	0.200157277	0.04162944	0.624441596	
Embelin_MM	-0.018181818	0.957685241	0.957685241	-0.240355319	0.476518209	0.893471642	
Embelin_OESOPHAGUS	0.055882353	0.837137222	0.957685241	0.377375055	0.14959043	0.628617359	
Embelin_OVARY	0.088235294	0.745222094	0.957685241	0.094614031	0.727434788	0.909293486	
Embelin_PANCREAS	-0.06993007	0.829023641	0.957685241	-0.161167656	0.616795703	0.909293486	
Embelin_SKIN	0.098344456	0.655289222	0.957685241	-0.017577884	0.936551221	0.983451361	
Embelin_URINARY_TRACT	0.251748252	0.429918785	0.957685241	0.314275685	0.319803427	0.799508567	
Entinostat_CENTRAL_NERVOUS_SYSTEM	-0.282706767	0.227153285	0.90861314	-0.251010911	0.285753544	0.698454037	
Entinostat_DLBC	0.08101173	0.659383491	0.926763899	0.1426028	0.436227031	0.698454037	
Entinostat_LCLL	0.063602251	0.696613742	0.926763899	-0.09044433	0.578880267	0.698454037	
Entinostat_LUNG	0.015647226	0.926763899	0.926763899	0.065881461	0.698454037	0.698454037	
Enzastaurin_BILIARY	0.021428571	0.939577904	0.9788365	-0.120265424	0.669428459	0.834479282	
Enzastaurin_BONE_AND_SOFT_TISSUE	0.163184641	0.468076935	0.812903829	0.168609	0.453207629	0.782569247	
Enzastaurin_BREAST	0.146993659	0.406779986	0.812903829	0.180995394	0.305650331	0.654964995	
Enzastaurin_CENTRAL_NERVOUS_SYSTEM	0.041742541	0.811813459	0.936707837	-0.021195204	0.903808254	0.903808254	
Enzastaurin_DLBC	-0.280791789	0.119539595	0.719296248	-0.323778892	0.070645892	0.654964995	
Enzastaurin_KIDNEY	-0.009090909	0.9788365	0.9788365	0.15409031	0.651007912	0.834479282	
Enzastaurin_LARGE_INTESTINE	0.158441558	0.492736037	0.812903829	0.293391092	0.196776766	0.654964995	
Enzastaurin_LCLL	-0.171052632	0.297798384	0.812903829	-0.080079757	0.627955482	0.834479282	
Enzastaurin_LUNG	0.047729445	0.633807645	0.864283152	-0.034478687	0.730824962	0.834479282	
Enzastaurin_MM	0.127272727	0.709214626	0.886518282	0.361345481	0.274895117	0.654964995	
Enzastaurin_OESOPHAGUS	0.227941176	0.378910588	0.812903829	0.35535663	0.161585807	0.654964995	
Enzastaurin_OVARY	-0.382352941	0.14385925	0.719296248	-0.311077439	0.240892887	0.654964995	
Enzastaurin_PANCREAS	0.461538462	0.13094807	0.719296248	0.385462886	0.215922537	0.654964995	
Enzastaurin_SKIN	-0.267358545	0.217461814	0.812903829	-0.061954063	0.77884733	0.834479282	
Enzastaurin_URINARY_TRACT	-0.195804196	0.541935886	0.812903829	-0.231270429	0.469541548	0.782569247	
Epothilone B_BILIARY	0.135714286	0.629620442	0.860025293	-0.010483453	0.970420901	0.970420901	
Epothilone B_BONE_AND_SOFT_TISSUE	-0.07518797	0.75272671	0.868530819	0.022233314	0.925872479	0.970420901	
Epothilone B_BREAST	0.432729774	0.010584618	0.079384639	0.321828936	0.063438742	0.587323833	
Epothilone B_CENTRAL_NERVOUS_SYSTEM	0.465191208	0.004865218	0.072978265	0.166778225	0.338280082	0.901511214	
Epothilone B_DLBC	0.027492669	0.881267649	0.922480571	0.013923339	0.939711725	0.970420901	
Epothilone B_KIDNEY	-0.163636364	0.630685215	0.860025293	-0.20933927	0.536726543	0.901511214	
Epothilone B_LARGE_INTESTINE	0.026470588	0.922480571	0.922480571	-0.141559526	0.601007476	0.901511214	
Epothilone B_LCLL	0.178028231	0.284911573	0.712278932	0.101098233	0.545881167	0.901511214	
Epothilone B_LUNG	0.179029566	0.070384894	0.351924471	0.15521155	0.117464767	0.587323833	
Epothilone B_MM	0.118181818	0.72928478	0.868530819	-0.017639522	0.958946403	0.970420901	
Epothilone B_OESOPHAGUS	0.141176471	0.602002684	0.860025293	0.101034158	0.709662854	0.967722073	
Epothilone B_OVARY	0.411764706	0.113033866	0.423876998	0.222949607	0.406549554	0.901511214	
Epothilone B_PANCREAS	-0.342657343	0.275567451	0.712278932	-0.269740409	0.396511414	0.901511214	
Epothilone B_SKIN	0.107734127	0.624636528	0.860025293	0.126147656	0.566276183	0.901511214	
Epothilone B_URINARY_TRACT	0.174825175	0.586823664	0.860025293	0.513824834	0.08748294	0.587323833	
Erlotinib_CENTRAL_NERVOUS_SYSTEM	-0.047368421	0.847300328	0.847300328	0.103740278	0.672559412	0.6800894	
Erlotinib_DLBC	0.090909091	0.620723005	0.847300328	0.099756251	0.586983015	0.6800894	
Erlotinib_LCLL	0.039124839	0.820772948	0.847300328	-0.220080221	0.197133789	0.6800894	
Erlotinib_LUNG	0.478976641	0.007410038	0.02964015	0.07850216	0.6800894	0.6800894	
Etoposide_BILIARY	0.107142857	0.703901002	0.804458288	0.130248082	0.643604413	0.768304758	
Etoposide_BONE_AND_SOFT_TISSUE	0.015037594	0.949827695	0.949827695	0.100846067	0.672266663	0.768304758	
Etoposide_BREAST	0.190858194	0.287355746	0.658285323	0.104789925	0.561669946	0.768304758	
Etoposide_CENTRAL_NERVOUS_SYSTEM	0.18734719	0.288698307	0.658285323	-0.17393929	0.325203425	0.745592845	
Etoposide_CERVICAL	0.248484848	0.488776305	0.658285323	0.186230229	0.606458383	0.768304758	
Etoposide_DLBC	-0.149885409	0.397508785	0.658285323	-0.093857153	0.59751741	0.768304758	
Etoposide_KIDNEY	-0.072727273	0.831716405	0.887164166	-0.220627203	0.514457789	0.768304758	
Etoposide_LARGE_INTESTINE	-0.167647059	0.534856825	0.658285323	-0.292977855	0.270793136	0.745592845	
